Subdiv,Block,Unit,Shape_Leng,Shape_Area
Devonshire,34,2,2250.59263736,45109.7655418
Devonshire,35,2,635.078470919,11975.41625
Devonshire,36,2,2090.17104626,43015.7709859
Devonshire,37,2,636.013297606,11736.9570076
Devonshire,4,1,1154.19811853,36916.029553
Devonshire,4,2,2619.85085647,52477.3161672
Devonshire,5,1,746.626932698,21152.4766602
Devonshire,5,2,2714.25537607,55590.3542811
Devonshire,6,1,1087.11602023,19450.8828411
Devonshire,6,2,882.7678608,16316.5309199
Devonshire,7,1,614.501044518,16458.6762028
Devonshire,8,1,1123.29419994,34034.5467456
Devonshire,8,2,991.905174738,19762.8665306
Devonshire,9,1,1036.0959153,30921.5350778
Devonshire,9,2,1135.89478874,21545.8737219
Discovery Bay,3,2,835.332981659,21960.4970472
East Coral,,,437.464422966,11334.0174593
Emerald Bay,27,1,2336.74797177,68800.0070846
Emerald Bay,28,1,461.804869263,14876.0499403
Emerald Bay,29,1,504.951160366,17533.9916299
Emerald Bay,30,1,408.082952998,11733.3356587
Emerald Bay,31,1,3605.82726744,105593.794503
Emerald Bay,31,2,806.747786963,20662.7242815
Emerald Bay,32,1,867.180100109,28679.9728855
Emerald Bay,33,1,2425.50621832,53000.1588809
Emerald Bay,41,2,677.288994875,14206.9978161
Emerald Bay,42,2,936.886777781,33041.2939585
Emerald Bay,43,2,1327.58796505,53614.5429252
Emerald Bay,44,1,2597.82185655,62018.2875203
Emerald Bay,45,1,353.641003132,8654.00839469
Emerald Bay,46,1,917.426580066,19945.4334256
Emerald Bay,46,2,2646.2038357,69243.4166135
Emerald Bay,46,2,247.704961195,3055.99489311
Emerald Bay,47,2,694.025558802,21320.4717933
Emerald Bay,48,2,857.55479602,30499.8783494
Emerald Bay,49,2,1007.3800478,33113.8312768
Emerald Bay,59,1,951.789109022,16215.6708032
Emerald Bay,59,3,1575.94715686,33904.2691339
Emerald Bay,60,1,657.149535765,14675.9846692
Emerald Bay,60,3,800.270455418,16356.4382288
Emerald Bay,61,1,775.850970811,10412.8863553
Emerald Bay,61,3,978.394583324,23057.4939359
Emerald Bay,62,1,535.84854733,10431.4922478
Explorer's Bay,39,,3579.46487371,105825.494632
Explorer's Bay,40,,1051.983228,37687.8733312
Forest Green,1,1,4769.33712746,121285.689324
Forest Green,1,2,1069.56333695,29599.5342481
Forest Green,1,3,1610.26312277,42631.5440393
Forest Green,1,4,3073.48178172,91478.1196221
Forest Green,1,5,5143.85756372,103741.008187
Forest Green,1,6,5165.91140162,107753.739752
Forest Green,1,7,1068.46370791,32500.1651685
Forest Green,10,1,981.070262107,33360.97027
Forest Green,10,6,1688.74427476,36231.1828494
Forest Green,10,9,902.341912157,29649.8559312
Forest Green,11,1,1408.93096652,50941.8508273
Forest Green,11,6,1100.67602156,37659.1516961
Forest Green,11,9,1519.84940199,55651.3931409
Forest Green,12,1,3113.12410664,67013.6711973
Forest Green,12,6,1723.22544582,63770.3437045
Forest Green,13,1,581.677571959,17293.1991593
Forest Green,13,6,1932.27505176,72374.306645
Forest Green,14,6,1766.94722739,63742.8784775
Forest Green,15,1,1726.29835787,63326.1982092
Forest Green,16,1,680.727989447,21280.7010088
Forest Green,17,1,2509.92462105,97508.673778
Forest Green,18,1,1779.33069367,73768.1225284
Forest Green,19,1,1098.71239247,38016.3277173
Forest Green,2,1,1557.04562914,55429.5165318
Forest Green,2,10,3997.46469052,112950.764586
Forest Green,2,2,858.198203821,39090.1633426
Forest Green,2,3,971.406310809,53728.114872
Forest Green,2,4,833.545879785,36402.7324041
Forest Green,2,5,3050.19538492,116964.731011
Forest Green,2,6,893.262844036,31770.8758648
Forest Green,2,7,1182.54434582,42826.4432671
