OBJECTID,AREA,BUILDIN_ID,Shape_Leng,Shape_Area
11226,0,0,50.1923427149,124.345278502
11227,0,0,48.8755319849,117.929173997
11228,0,0,50.888337106,152.371613503
11229,0,0,57.806327561,174.127317997
11230,0,0,73.4047846358,214.901073498
11231,0,0,46.3027614325,113.004287001
11232,0,0,50.4678969862,135.612405999
11233,0,0,50.9401607353,134.016108999
11234,0,0,54.2304486587,167.8899045
11235,0,0,44.172945872,102.685354499
11236,0,0,32.4645987142,63.6841744997
11237,0,0,60.6954052961,179.737544499
11238,0,0,51.5304391278,142.126721502
11239,0,0,47.5233993622,117.885344501
11240,0,0,38.1101577213,69.5602029992
11241,0,0,45.503813752,107.933899004
11242,0,0,47.4781844043,115.447583998
11243,0,0,57.8599983651,179.112266501
11244,0,0,50.061195526,130.897726001
11245,0,0,68.618228081,204.763031
11246,0,0,60.4129482095,156.036172509
11247,0,0,47.2026033441,118.710303999
11248,0,0,46.4450043628,124.289379498
11249,0,0,74.37748505,263.390872003
11250,0,0,43.9919206061,102.054832
11251,0,0,74.517538149,268.357708999
11252,0,0,44.4458298398,104.261942499
11253,0,0,49.7965883324,142.4495315
11254,0,0,44.7883810878,101.751364499
11255,0,0,60.6306082729,212.537385499
11256,0,0,52.4264920999,149.246389501
11257,0,0,66.4736453149,221.000122503
11258,0,0,49.2732504596,126.985513499
11259,0,0,47.3503443946,116.896974997
11260,0,0,69.0470996395,261.750868505
11261,0,0,46.2114321151,116.399835996
11262,0,0,44.8100320895,108.422129501
11263,0,0,62.360779248,200.281358001
11264,0,0,37.4265415311,75.0667460024
11265,0,0,50.4760930981,132.457080499
11266,0,0,50.8719907632,133.731184004
11267,0,0,46.0217778297,110.991908
11268,0,0,54.4209402287,156.609693999
11269,0,0,61.2865298608,197.123162999
11270,0,0,44.1705507483,103.600376503
11271,0,0,57.4530148257,151.653720498
11272,0,0,44.224872447,103.019311501
11273,0,0,64.0301861554,169.355822999
11274,0,0,67.0201587345,203.124636003
11275,0,0,86.2596813378,349.010035004
11276,0,0,36.994546521,81.4245459975
11277,0,0,50.0665913405,130.757364499
11278,0,0,63.4294582396,159.766613498
11279,0,0,58.4318781638,162.024603496
11280,0,0,55.9220852603,165.184426997
11281,0,0,45.8106089069,109.65165
11282,0,0,67.6086554594,245.457621002
11283,0,0,47.0662255038,117.600068498
11284,0,0,49.9064765693,118.5501185
11285,0,0,45.5652096253,128.022981497
11286,0,0,70.4439159883,256.500144002
11287,0,0,34.6219948497,72.8929320005
11288,0,0,57.8685528997,194.130631
11289,0,0,49.3005160265,93.1271290003
11290,0,0,39.4994345912,93.9883280004
11291,0,0,37.6799467304,87.7113240002
11292,0,0,77.8121906588,303.865257503
11293,0,0,38.9637404917,74.0177505004
11294,0,0,39.1339671079,91.3364054987
11295,0,0,74.5743097225,211.627581498
11296,0,0,39.7047545761,84.9940025022
11297,0,0,62.7229804386,167.164814503
11298,0,0,49.5300740381,127.999699
11299,0,0,36.6515382682,74.3951595022
11300,0,0,55.4080384449,151.449555505
11301,0,0,57.0253014515,165.410103999
11302,0,0,37.8635917196,69.1503609994
11303,0,0,53.2959279056,136.844116501
11304,0,0,52.6861460773,126.328417998
11305,0,0,45.8938688565,108.970598501
11306,0,0,54.9152106184,171.279424001
11307,0,0,39.6183793614,94.2527705037
11308,0,0,81.9045149707,254.048930998
11309,0,0,45.9595625506,111.632613498
11310,0,0,37.3573833997,66.5005369998
11311,0,0,23.3896338625,34.0125825033
11312,0,0,26.8278795319,44.6608960001
11313,0,0,53.6460534952,133.865645002
11314,0,0,40.8162884009,98.8089305035
11315,0,0,52.0525623491,146.9557425
11316,0,0,24.4776053678,33.6027674996
11317,0,0,50.4449447537,139.274145503
11318,0,0,50.8477516728,142.524004999
11319,0,0,51.083668581,134.6854555
